month_no,month,Year2016_real_time,Year2017_real_time,Year2018_real_time,Year2016_estimated_time,Year2017_estimated_time,Year2018_estimated_time
01,Jan,,8.602918425258974,15.33098724202287,,38.09328740510708,26.605708702820174
02,Feb,,10.331249691594907,14.672380947291247,,34.95803687084007,26.100343686687783
03,Mar,,11.908795353660937,15.365344349055793,,25.75634546424958,22.557835539598262
04,Apr,,12.813702276506673,15.36625867244657,,26.809681015013602,23.01241965823243
05,May,,12.943527053279633,11.8612149522504,,24.909502435153065,22.418769057914957
06,Jun,,11.679506469705915,11.721083525866709,,24.614168573532247,27.80186796471229
07,Jul,,11.289014508626687,9.149207767612493,,23.09598012810139,22.123830818315074
08,Aug,,11.000486587309323,8.741144061169608,,23.49358678456889,16.40796019264803
09,Sep,,12.487484292541648,40.148742766202695,,22.06702425155676,16.967427042013565
10,Oct,14.48004787712835,11.7576494070246,114.6085030863372,55.31010111787288,23.644691316814598,30.519884259284783
11,Nov,35.80492237387707,11.88415739253658,,55.60547074550313,21.90150791845131,
12,Dec,52.13974537036847,14.141106555377386,,58.78447627311107,24.66929271403496,
